04/27/11 - 16:47:43; Successful Startup
04/27/11 - 17:32:52; Successful Startup
04/28/11 - 02:35:15; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:285] attempt to call method 'IsValid' (a nil value)
04/28/11 - 02:35:16; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:285] attempt to call method 'IsValid' (a nil value)
04/28/11 - 02:35:17; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:285] attempt to call method 'IsValid' (a nil value)
04/28/11 - 02:35:18; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:285] attempt to call method 'IsValid' (a nil value)
04/28/11 - 05:53:47; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:48; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:49; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:50; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:51; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:52; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:53; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:54; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:55; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
04/28/11 - 05:53:56; Player Think Error: [addons\environments\lua\environments\core\sv_environments_players.lua:41] attempt to perform arithmetic on field 'pressure' (a nil value)
